band,barrier_free,capacity,card,charter,child,course,credit_card,english,free_drink,free_food,horigotatsu,karaoke,ktai_coupon,lat,lng,lunch,midnight,non_smoking,parking,party_capacity,pet,private_room,show,tatami,tv,wifi,budget.code,genre.code,large_area.code,large_service_area.code,middle_area.code,service_area.code,small_area.code
0,0,25,1,1,1,1,"[V,M,A,D,J,G]",1,1,0,0,0,0,35.004478,135.7708373,0,0,2,0,20,0,0,0,0,1,1,1750,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,49,1,0,1,1,"[V,M,A,D,J]",1,1,0,0,0,0,35.00542193,135.7654883,1,0,2,0,27,0,1,0,0,0,1,3500,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
0,0,42,1,1,1,1,"[V,M,A,D,J]",1,1,0,1,0,0,35.00436771,135.7697349,0,0,0,0,38,0,0,0,0,0,0,3500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,52,1,1,1,1,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",1,1,0,0,1,0,35.00509604,135.773074,0,1,0,0,52,0,1,0,0,1,1,2500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,23,1,1,1,1,"[V,M,A,D,J]",1,1,0,0,0,0,35.00529371,135.7695635,0,0,0,0,23,0,0,0,0,0,0,3500,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
0,0,68,1,0,1,0,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",1,0,0,0,0,1,35.00463201,135.7650753,1,0,2,0,50,0,0,0,0,1,0,2500,韓国料理,Z022,SS20,Y432,SA22,X430
0,0,74,1,0,1,1,"[V,M,J]",1,1,1,0,0,0,35.00658243,135.7688718,1,0,0,1,74,0,0,0,0,0,未確認,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,48,1,1,2,1,"[V,M,A,D,J]",0,0,0,0,0,0,35.00444267,135.7685419,1,0,0,0,30,0,0,0,0,0,1,3500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,69,1,0,1,1,"[V,M,A,D,J]",1,1,0,0,0,1,35.00594169,135.7694743,0,0,2,0,69,0,0,0,0,0,1,1750,お好み焼き・もんじゃ,Z022,SS20,Y432,SA22,X430
0,1,120,1,0,2,1,"[V,M,A,D,J,G]",1,1,1,1,0,0,35.00426245,135.7702473,1,0,2,1,120,0,1,0,1,1,1,3500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,40,1,1,1,1,"[V,M,A,D,J]",1,1,0,0,0,0,35.00214881,135.7703407,1,0,2,0,14,0,1,0,1,0,0,3500,和食,Z022,SS20,Y432,SA22,X430
0,0,120,1,0,1,1,"[V,M,J,G]",1,1,1,1,0,0,35.00579837,135.769469,0,1,2,0,40,0,1,0,0,0,1,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,1,44,1,1,2,1,"[V,M,A,J]",1,1,0,0,0,0,35.00361115,135.7706331,1,0,2,0,44,0,0,0,0,0,0,3500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,36,1,0,1,1,"[V,M,A,D,J]",0,0,0,0,0,0,35.00915079,135.7705927,0,0,2,0,20,0,0,0,0,0,0,3500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,59,0,0,0,1,,0,0,0,0,0,0,35.00363358,135.767895,1,0,2,0,59,0,0,0,0,0,1,750,カフェ・スイーツ,Z022,SS20,Y432,SA22,X430
0,0,45,1,0,2,1,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",1,1,1,0,0,0,35.00578559,135.769459,1,0,2,0,56,0,1,0,0,0,0,3500,和食,Z022,SS20,Y432,SA22,X430
0,0,33,1,0,1,1,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",1,1,0,0,0,0,35.00544654,135.7727779,1,0,2,0,30,1,0,0,0,0,1,3500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,20,1,1,2,1,"[V,M]",0,1,0,0,0,0,35.01580277,135.7687615,1,0,1,0,40,0,1,0,0,0,1,4500,和食,Z022,SS20,Y432,SA22,X430
